Match_ID,Home_Team_Score,Away_Team_Score,Accuracy_Status
M-2006-43,2,2,Accurate
M-2006-44,1,4,Accurate
M-2006-45,0,1,Accurate
M-2006-46,1,0,Accurate
M-2006-47,2,0,Accurate
M-2006-48,0,2,Accurate
M-2006-49,2,0,Accurate
M-2006-50,2,1,Accurate
M-2006-51,1,0,Accurate
M-2006-52,1,0,Accurate
M-2006-53,1,0,Accurate
M-2006-54,0,0,Accurate
M-2006-55,3,0,Accurate
M-2006-56,1,3,Accurate
M-2006-57,1,1,Accurate
M-2006-58,3,0,Accurate
M-2006-59,0,0,Accurate
M-2006-60,0,1,Accurate
M-2006-61,0,2,Accurate
M-2006-62,0,1,Accurate
M-2006-63,3,1,Accurate
M-2006-64,1,1,Accurate
M-2010-01,1,1,Accurate
M-2010-02,0,0,Accurate
M-2010-03,2,0,Accurate
M-2010-04,1,0,Accurate
M-2010-05,1,1,Accurate
M-2010-06,0,1,Accurate
M-2010-07,0,1,Accurate
M-2010-08,4,0,Accurate
M-2010-09,2,0,Accurate
M-2010-10,1,0,Accurate
M-2010-11,1,1,Accurate
M-2010-12,1,1,Accurate
M-2010-13,0,0,Accurate
M-2010-14,2,1,Accurate
M-2010-15,0,1,Accurate
M-2010-16,0,1,Accurate
M-2010-17,0,3,Accurate
M-2010-18,4,1,Accurate
M-2010-19,2,1,Accurate
M-2010-20,0,2,Accurate
M-2010-21,0,1,Accurate
M-2010-22,2,2,Accurate
M-2010-23,0,0,Accurate
M-2010-24,1,0,Accurate
M-2010-25,1,1,Accurate
M-2010-26,1,2,Accurate
M-2010-27,0,2,Accurate
M-2010-28,1,1,Accurate
M-2010-29,3,1,Accurate
M-2010-30,7,0,Inaccurate
M-2010-31,1,0,Accurate
M-2010-32,2,0,Accurate
M-2010-33,1,2,Accurate
M-2010-34,0,1,Accurate
M-2010-35,0,2,Accurate
M-2010-36,2,2,Accurate
M-2010-37,0,1,Accurate
M-2010-38,1,0,Accurate
M-2010-39,2,1,Accurate
M-2010-40,0,1,Accurate
M-2010-41,0,0,Accurate
M-2010-42,3,2,Accurate
M-2010-43,1,2,Accurate
M-2010-44,1,3,Accurate
